cls_id,box_count,is_train_class
0,39,X
1,135,O
2,553,X
3,81,X
4,40,O
5,53,X
6,60,X
7,498,X
8,486,O
9,59,X
10,1655,O
11,30,X
12,3,O
14,40,O
15,25,O
17,118,X
18,102,X
19,480,X
20,30,X
21,19,X
22,30,X
23,42,O
24,202,X
26,637,X
27,169,X
28,96,X
29,221,X
30,196,X
31,122,O
32,4,X
33,77,O
34,160,X
35,44,X
36,206,O
37,257,O
38,136,O
39,32,X
40,133,O
41,108,O
42,24,O
43,930,O
44,58,X
45,108,O
46,433,O
47,70,O
48,61,O
49,1,X
50,78,O
51,1011,O
52,105,X
53,21,X
54,223,O
55,99,O
56,74,O
57,21,O
59,550,X
60,119,X
61,590,X
62,88,X
63,38,X
64,2525,O
65,124,X
66,8,X
67,117,X
68,84,O
69,72,X
70,259,O
71,38,X
72,87,O
73,309,X
74,285,X
75,102,O
76,20,X
77,10,X
78,51,O
79,146,O
80,92,X
81,97,X
82,48,X
83,60,X
84,190,X
87,157,O
88,8,X
89,1462,O
90,72,O
91,1211,O
92,148,O
93,91,X
94,31,X
95,121,O
96,22,O
97,165,O
98,88,X
99,858,O
100,32,X
101,37,X
102,8,X
103,183,O
104,516,O
105,65,X
106,156,X
